"","Common name","Image","Origin","First developed","Comment","Use"
"1126","Virginia Greening[4]","","Virginia","<1835","W 88. H 65. Flesh white, subacid. Use January - April.","Cooking"
"1127","Vitgylling (syn. Virginskt Rosenäpple)[13][14]","","Europe","<1800","W 69, H 60. Stalk 15 mm. Flesh sweet, subacid, fair to good. Pick late August. Use early September.","Cooking"
"1128","Von Zuccalmaglios Rennete[18]","","Germany","1878","W 65, H 61, We 115. Picking October. Use November - March. Biennial.","Eating, Cooking"
"1129","Vuokko[31]","","Finland","Introduced 1999","A green apple. P Melba x Huvitus. Flesh juicy, sweet, subacid. Pick late August - early September.","Cooking, Eating"
"1130","Vusanka[11]","","Montenegro","<1900","A greenish yellow apple with red flush. W 72, H 63. We 132. Stalk medium to long. Flesh juicy, sweet. Pick early October. Use November - April.","Eating, Cider"
"1131","Wadhurst Pippin[7][6]","","Sussex, England","<1850","A culinary apple of excellent quality, in use from October to February.","Cooking (Eating)"
"1132","Wagener[386][8][3][21][28]","","New York, US","1791","Antique American variety, known since Colonial times. Tree hardy, early bearer, scab-resistant. Green with red flush. Flesh yellowish, tender, subacid and vinous, very good to best. W 70-88. H 51-63, Stalk 13–26 mm. Keeps very well. Very versatile in kitchen; not only does it cook well, but makes a good single-variety cider. Wagener is a parent of Idared, to which it imparts its keeping and cooking qualities. Pick early October. Use November - February.","Cider, Cooking, Eating"
"1133","Wanstall[6]","","Kent, England","<1875","A dessert apple of the first quality, equal in flavour to the Ribston Pippin and will keep till May. Flesh, yellow, firm crisp, juicy, rich, sugary, and highly flavoured.","Eating"
"1134","Warder[5]","","Ohio, US","Introduced 1937","P Rome Beauty x unknown. Pick October 1 in Ohio.","Eating"
"1135","Warner's King[34]agm[387][21]","","Kent, England","c. 1700","Oblong and light green. Very tart. W 90-95, H 62-76. Stalk 15–20 mm. Do not attempt to eat out of hand. Pick late September. Use November - February.","Cooking"
"1136","Washington Strawberry[3]","","N.Y. US","<1849","W 88, H 75. Stalk 16 mm. Flesh yellow, crisp, tender, juicy, brisk subacid. Pick mid September. Use September - October.","Eating"
"1137","Washu 1984","","Japan","c. 1920","Conical with light green skin and dark freckles, with a firm, white, bruise-resistant flesh and a sweet, low-acid flavor with tropical undertones.","Eating"
"1138","Water[3]","","Pa. US","<1850","W 70, H 70. Stalk 16 mm. Flesh white, tender, juicy, subacid. Use October - November.","Eating"
"1139","Waterman Sweet[3]","","US","<1875","Yellow with red flush. Flesh yellow, juicy, sweet. Use December - March.","Eating"
"1140","Wealthy[8][21][388]","","Minnesota, US","1860","Cherry Red × Sops of Wine.
Pretty reddish pink coat. Flesh white, fine, crisp, tender, very juicy, subacid, aromatic, good to very good. Believed at one time Minnesota was too cold to grow apples until ""Wealthy"" was cultivated. Now a parent to many apples for resistance to temperatures below freezing. Still available in upper Midwest. W 67-69, H 53-61. Stalk 18 – 22 mm. Pick mid September. Use September - December.","Eating"
"1141","Webster[5]","","Geneva, New York, US","1921, Introduced 1938","P (Ben Davis x Jonathan) x (Ben Davis x Jonathan). A large red apple. Triploid.","Cooking"
"1142","Wedge[5]","","Minnesota, US","1912, Introduced 1922","P Ben Davis x unknown. A large apple. Use October - November.",""
"1143","Well apple syn. of Domine",NA,NA,NA,NA,NA
"1144","Well apple syn. of Titus Pippin",NA,NA,NA,NA,NA
"1145","Werder Golden Reinette[7]","","Potsdam, Germany","<1904","Golden yellow striped with crimson. W 63, H 57. Tree vigorous. Flesh firm, yellowish, sweet, good. Am from RHS in 1904.","Eating"
"1146","Western Beauty[4]","","US","<1850","W 89, H 74. Stalk 20 mm. Flesh light yellow, tender, juicy, vinous, subacid. Tree vigorous, productive, early bearer. Use August - December.","Cooking, Eating"
"1147","Western Giant[5]","","California, US","Introduced 1948","A large Apple P unknown. Ripens before Red Astrachan.",""
"1148","Westfield Seek-No-Further(syn. Westfield)[4][389]","","Westfield, Massachusetts, US","18th century","A medium-sized conic to truncate-conic apple. W 70, H 58-63. Stalk 13-20 mm. Greenish-yellow, dull skin, flushed orange with carmine stripes, russet dots and patches. Shaded fruit are often irregularly russeted all over, with little colour showing. Flesh is light buttery-yellow, firm but tender, and moderately fine-grained. Flavour is nicely balanced, a honey-like sweetness balanced with a lemon-like citric acidity, rich, notes of pear and vanilla. Vigorous grower, some disease resistance. Use December.","Eating"
"1149","Weisskante[34]","","Germany","<1850","W66, H 66. Stalk 16 mm. Use November - March.","Cooking, Eating"
"1150","Welschisner[390]","","Austria","1659","A greenish-yellow apple with red flush. W 75, H 62. Stalk short. Flesh whitish yellow, aromatic, subacid. Quality: eating good. Pick mid October. Use January - May.","Eating"
"1151","Wheeler´s Russet[6][391]","","England","1717 ?","Medium sized fruit, entirely covered with pale yellowish grey russet. A highly flavoured dessert apple of the first quality. Use: November–April.","Eating"
"1152","Whetstone[5]","","Missouri, US","Introduced 1935","P Conard x Delicious. Quality fair. Tree vigourous.",""
"1153","White Astrachan[13]","","Sweden or Russia","<1800","W 71, H 60. Stalk 10-15mm.","Eating"
"1154","White Doctor[3]","","Pennsylvania, US","<1875","A large greenish-yellow apple. Stalk short. Tree vigorous. Flesh white, subacid, good. Use September - October.","Cooking"
"1155","White June see Yellow June",NA,NA,NA,NA,NA
"1156","White Pippin(syn. Canada Pippin)[3][392]","","US or Canada","","A yellow apple. W 80, H 65-70. Stalk 12-18 mm. Flesh white, crisp, juicy, subacid, very good to best. Use January - March.","Eating"
"1157","White Sweet[3]","","New Jersey, US","<1875","Tree vigorous. Flesh white, sweet, good. Use Use September - October.","Cider, Cooking"
"1158","White Transparent]][7][8][18][393]","","Latvia","1850","Very pale green skin. Flesh white, firm, crisp, tender, juicy, subacid, good. Fruit bruises easily and goes soft once harvested. W 55-70, H 55-68, We 85-100. AM from RHS in 1895. Pick and use July - August.","Cooking"
"1159","White Winter Pearmain[4][3]","","US","<1830","W 74-79, H 62-73. Stalk 15–20 mm. Tree vigorous. Flesh yellow, crisp, juicy, very good. Use December - March.","Eating, Cooking"
"1160","Whitney Russet[4]","","US","<1850","W 67, H 52. Stalk 14 mm. Flesh grennish-yellow, juicy, subacid, aromatic, spicy. Use December - February.","Eating"
"1161","Whorle Pippin[6]","","Scotland","<1831","Summer dessert apple of first-rate quality. Flesh firm, crisp and very juicy, with a brisk flavour. Picking August. H 51 W65.","Eating"
"1162","Wickham´s Pearmain[6]","","Hampshire, England","<1875","A pearmain-shaped yellow apple with red overcolour on the side next the sun. H 50, W 50. Flesh, greenish yellow, crisp, juicy, and highly flavoured. An excellent dessert apple.","Eating"
"1163","Wickson[5]","","California, US","Introduced 1944","A red oblong apple. P Yellow Newtown x Spitzenberg crab. Flesh juicy.","Jam, Jelly, Cider"
"1164","Wickstrands favorit[14]","","Sweden","<1900","A green apple. W 65 H 67. Stalk 16 mm. Flesh sweet. Pick October. Use October - December.","Eating"
"1165","Wijcik McIntosh","","British Columbia, Canada","Mid 1960s","Mutation of McIntosh apple that first showed columnar ornamental properties","Eating, Cooking, Ornamental"
"1166","Wild Twist[394]","","US","2011","Honeycrisp x Cripps Pink. Commercially available in 2020.",""
"1167","William Crump[7][8][21]","","Worcestershire, England","<1910","High-quality, well-coloured dessert apple. Raised at Rowe´s Nurseries, Worcester, England. AM from RHS in 1908. First Class Certificate from RHS in 1910. A yellow apple half covered with red flush. W 70-74, H 58-63. Stalk 13 mm. Pick mid October. Use December - February.","Eating"
"1168","Williams Favourite(syn. Williams, Williams Early)[7][13][28][395]","","Massachusetts, US","c1750","W 56-69, H 52-69. Stalk 15 mm. AM from RHS in 1895. Flesh crisp, tender, juicy, subacid, aromatic, good. Tree moderately vigorous. Pick September. Use September - November.","Eating"
"1169","Williams Pride(syn. Co-op 23)[10]","","Indiana, US","Introduced 1987","Flesh firm, crisp, juicy, subacid.","Eating"
"1170","Willie Sharpe[10]","","New Zealand","early 1900s","Light green, round, medium size. Flesh sweet, subacid, good.","Eating"
"1171","Willis Sweet(syn. Pear Lot)[3]","","Long Island, US","<1850","W 83, H 73. Stalk 22 mm. Very good. Flesh juicy, sweet. Use August - September.","(Eating, Cooking), Baking."
"1172","Willow Twig(syn. James River)[3][396][397]","","US","<1870","Yellow with red flush. W 84, H 68-73. Stalk 22 mm. Flesh pleasant, subacid. Valuable for late keeping",""
"1173","Windsor[398][399]","","US","<1889","Flesh juicy, aromatic, good to very good. Use October - March.","Eating"
"1174","Wine[4]","","US","<1850","A large apple. Flesh yellow, juicy, acid to subacid. Tree is very large. Use November - December.","Cooking, Eating"
"1175","Winesap[400][401][402][403]","","United States","1817","Sweet with tangy finish. Reddish blush flecked with some green. W 67, H 63. Stalk 17-20 mm. Flesh yellow, firm, coarse, crisp, juicy, subacid, good to very good. Use October - March.","Cider, Eating"
"1176","Winston (Winter King) agm[404][21]","","Berkshire, England","c. 1935","Cox Orange × Worcester Pearmain. Originally called Winter King because of its extraordinary keeping ability, renamed during World War II for Winston Churchill. W 65, H 60. Stalk 10–18 mm. Pick mid October. Use December - April.","Eating"
"1177","Winter Banana[8][10][405][406]","","Indiana, US","1876","Large, late dessert apple for use in December to March. Award of Merit from RHS in 1912. A golden yellow apple. 25-75% flushed with pinkish brown. W 78, H 71. Flesh yellow, firm, crisp, aromatic, juicy, mild subacid good to very good. Pick early October. Use December - March.","Eating"
"1178","Winter Harvey[3]","","US","<1850","Flesh white, tender, juicy, subacid, good. Tree vigorous. Use January - March","Eating"
"1179","Winter Maiden´s Blush[3]","","Pennsylvania, US","<1850","Flesh white, crisp, tender, subacid, very good. Stalk short.","Eating"
"1180","Winter Pearmain[6]","","England","<1600","A narrow conical ribbed apple. W 70-80, H 70-80. Stalk very short. Flesh yellow, firm crisp, juicy and a very pleasant flavour. Use December - April.","Eating, Cooking"
"1181","Winter Pomeroy[92]","","England ?","<1850","W 76, H 64. Stalk long. Flesh, yellow, crisp, sub-acid. Use December - January.","Cooking"
"1182","Winter Prinzenapfel[34]","","Germany","<1887","W 69, H 69-72. Stalk 12 mm. Flesh juicy, sweet, good. Use December - March.","Eating, Cooking"
"1183","Winter Quarrenden (syn. Stubb´s Seedlin)[7]","","Nottinghamshire, England","<1895","A bright crimson apple. W 63, H 57. AM from RHS in 1895. P London Pippin x Devonshire Quarrenden. Flesh greenish-yellow, poor. Use November - December.","Eating"
"1184","Winter Quittenapfel[34]","","","<1830","W 72, H 58-60. Stalk 11 mm. Use December - April.","Cooking (Eating)"
"1185","Winter Quoining[92][407]","","England","<1700","W 57, H 64. Flesh greenish yellow, tender, soft, not very juicy, sugary, perfumed. Use November - May.","Cooking, Eating"
"1186","Winthrop Greening(syn. Lincoln Pippin, Hove Apple)[3]","","Winthrop, Me. US","<1875","Stalk short. Flesh white, tender, juicy, subacid. Use September.","Eating"
"1187","Witos[144]","","Poland","","",NA
"1188","Wolf River[8][408]","","Wisconsin, US","1881","Apple very large, some growing to size of large grapefruit. Red with yellow blush. Once very popular commercial apple in United States but presently relegated to upper Midwest if grown for profit. Occasionally can be found growing wild in backcountry thickets or abandoned land in Shenandoah Valley. Named for area where found. Flesh white, firm, tender, juicy, aromatic, subacid, fair to good. Feral trees can be brought back with care and pruning. W 80, H 62. Pick mid September. Use October - December.","Cooking, Eating"
"1189","Wood´s Greening(syn. Reinette Simerenko)[324]","","Ukraine","<1895","A golden yellow apple. H 54-65 W 70-78. Pick October.","Cooking, Eating"
"1190","Woolbroke Pippin[409]","","England","Introduced 1921","Yellow with red flush and Russet. Stalk short. AM from RHS in 1929. Flesh white, hard, sweet, aromatic.","Eating"
"1191","Woolbrook Russet[8][410]","","Devon, England","1903","P Bramley x King Acre Pippin. W 84, H 67. Stalk short. Flesh white, juicy, acid. AM from RHS in 1930. Pick mid October. Use December - March.","Cooking"
"1192","Worcester Pearmain agm[411]","","Worcestershire, England","1873","Conical , entirely covered with scarlet. FCC from RHS in 1875. Crisp and sweet strawberry flavour when ripe. Pick early - mid September. Use September - October. W 64, H 61.","Eating"
"1193","Wright[5]","","Missouri, US","Introduced 1942","P Ben Davis x Jonathan. Fruit large, good flavor.","Eating"
"1194","Wrixparent[5]","","Delaware, US","Introduced 1940","P Transparent x unknown. Ripens early.","Eating"
"1195","Wyken Pippin[8]","","England or Netherland","<1720","Flat round, even, greenish yellow, with delicious flavour. W 59, H 50. Pick mid October. Use November - February.","Eating"
"1196","Yakima Newtown[5]","","Washington, US","Introduced 1949","Mutation of Yellow Newtown.","Cooking, Cider, Eating"
"1197","Yates[3]","","Georgia, US","<1865","A small apple. Flesh white, tender, juicy, subacid, good. Use March - May.","Eating"
"1198","Yellow Bellflower[18][4][412][413]","","Burlington, New Jersey, US","<1800","Yellow H 72-80, W 72-78, We 160. Stalk 18 – 26 mm. A favorite for baked apples. Banana flavour. Tree large, vigorous. Flesh yellow, tender, juicy, crisp, subacid, very good. Picking October. Use December–February.","Cooking, Eating"
"1199","Yellow Forset[28]","","La. US","<1885","Flesh white, tender, crisp, juicy, aromatic, subacid, good. Use January - June.","Eating"
